Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night,Grade,Stress_Level_Category
Female,22,Engineering,0.04560912182436489,0.25058352784261423,0.29709903301100365,0.6846738695478191,0.48127378329661535,0.399,0.7179435887177437,0.04800000000000001,no,yes,High School,,0.4444444444444444,0.14000000000000004,F,Medium
Male,18,Engineering,0.945389077815563,0.9541513837945982,0.09669889963321102,0.49617192404510324,0.8854396154616463,0.8320000000000001,0.11282256451290258,0.56,no,yes,PhD,,0.3333333333333333,1.0,A,Medium
Male,24,Business,0.143628725745149,0.45098366122040673,0.8949649883294432,0.3541416566626651,0.7144001602243142,0.505,0.4756951390278057,0.628,no,yes,Master's,,0.5555555555555556,0.44000000000000006,D,Medium
Female,24,Mathematics,0.902980596119224,0.12987662554184726,0.6773924641547181,0.32132853141256507,0.870819146805528,0.654,0.842368473694739,0.792,yes,yes,High School,,0.2222222222222222,0.54,A,Low
Female,23,CS,0.08341668333666737,0.10986995665221745,0.6483827942647549,0.9373749499799918,0.6743440817144003,0.597,0.36827365473094625,0.41600000000000004,yes,yes,High School,,0.1111111111111111,0.6199999999999999,F,Low
Male,21,Engineering,0.5085298950958791,0.6477159053017671,0.05885295098366124,0.42817126850740306,0.0434608451832566,0.638,0.3456691338267655,0.14,yes,yes,PhD,,0.0,0.2,B,Low
Male,24,Business,0.1518303660732147,0.4378126042014005,0.8181060353451148,0.6906762705082031,0.9687562587622675,0.22999999999999998,0.8729745949189839,0.652,no,yes,PhD,,0.4444444444444444,0.4800000000000001,F,Medium
Male,19,Engineering,0.03800760152030403,0.09453151050350118,0.5661887295765253,0.602641056422569,0.9186861606248751,0.373,0.8647729545909181,0.892,yes,no,PhD,,0.3333333333333333,0.05999999999999996,F,Medium
Female,21,CS,0.7193438687737548,0.7405801933977992,0.8481160386795599,0.14105642256902753,0.12617664730622868,0.051000000000000004,0.8801760352070415,0.12,no,no,Bachelor's,,0.8888888888888888,0.9600000000000002,A,High
Female,22,Engineering,0.2800560112022406,0.7995998666222073,0.9748249416472157,0.9399759903961584,0.11215701982775891,0.588,0.5719143828765753,0.184,no,yes,PhD,,1.0,0.4800000000000001,A,High
Female,23,CS,0.7143428685737148,0.7255751917305767,0.9574858286095366,0.34593837535014016,0.5391548167434409,0.45899999999999996,0.9523904780956192,0.32799999999999996,no,yes,High School,,0.0,0.019999999999999928,A,Low
Female,20,Engineering,0.5549109821964393,0.20240080026675558,0.8564521507169056,0.04481792717086838,0.7574604446224714,0.761,0.8189637927585518,0.652,no,yes,Master's,,0.8888888888888888,0.6,C,High
Male,21,Engineering,0.10862172434486897,0.6900633544514838,0.011003667889296374,0.3005202080832332,0.3821349889845784,0.20600000000000002,0.4154830966193239,0.524,no,yes,Master's,,0.7777777777777778,0.1,F,High
Male,18,Business,0.9321864372874575,0.010670223407802609,0.8859619873291097,0.335734293717487,0.13599038654115764,0.437,0.6295259051810363,0.7120000000000001,no,yes,PhD,,1.0,0.78,A,High
Male,19,Engineering,0.45229045809161844,0.3052684228076025,0.07502500833611203,0.09283713485394159,0.510715001001402,0.181,0.1216243248649731,0.031999999999999994,no,yes,PhD,,0.3333333333333333,0.9600000000000002,B,Medium
Male,18,CS,0.7343468693738747,0.3989663221073691,0.851450483494498,0.6202480992396958,0.3374724614460244,0.614,0.5513102620524104,0.812,no,yes,PhD,,0.1111111111111111,0.9199999999999999,A,Low
Female,21,CS,0.5009001800360071,0.8354451483827942,0.2802600866955652,0.34693877551020413,0.35169236931704395,0.8480000000000001,0.2630526105221044,0.988,no,yes,PhD,,0.2222222222222222,0.41999999999999993,F,Low
Female,23,Business,0.6043208641728346,0.3904634878292764,0.6102034011337111,0.6294517807122847,0.6453034247947127,0.765,0.28345669133826784,0.04800000000000001,no,no,PhD,,1.0,0.72,F,High
Male,20,CS,0.3026605321064213,0.011337112370790258,0.03801267089029678,0.0068027210884354416,0.8862407370318447,0.944,0.12562512502500503,0.49599999999999994,no,yes,PhD,,0.8888888888888888,0.15999999999999998,B,High
Male,20,Engineering,0.20024004800960202,0.35245081693897967,0.7714238079359785,0.982392957182873,0.5587822952132988,0.9720000000000001,0.35807161432286455,0.74,yes,yes,PhD,,1.0,0.08000000000000007,D,High
Male,18,CS,0.54250850170034,0.49916638879626535,0.11170390130043352,0.49617192404510324,0.6879631484077708,0.772,0.48129625925185027,0.4759999999999999,no,yes,High School,,0.1111111111111111,0.82,D,Low
Male,22,Business,0.44008801760352084,0.9493164388129376,0.4108036012004001,0.6596638655462184,0.6603244542359303,0.28700000000000003,0.6003200640128025,0.5920000000000001,no,yes,PhD,,0.7777777777777778,0.7,C,High
Male,22,Engineering,0.3900780156031208,0.9413137712570855,0.8177725908636211,0.7160864345738296,0.5513719206889647,0.219,0.3046609321864372,0.92,yes,yes,PhD,,1.0,0.9,C,High
Female,23,CS,0.6725345069013802,0.18089363121040347,0.695565188396132,0.17166866746698675,0.3106348888443823,0.44800000000000006,0.7921584316863373,0.54,no,yes,Master's,,0.0,0.9199999999999999,D,Low
Female,20,CS,0.6905381076215243,0.18522840946982325,0.006002000666888953,0.11184473789515813,0.3777288203484879,0.994,0.5209041808361672,0.23600000000000002,yes,yes,High School,,0.3333333333333333,0.34,A,Medium
Male,18,Business,0.045809161832366455,0.16338779593197728,0.4031343781260421,0.15266106442577035,0.31564189865812153,0.413,0.6379275855171036,0.74,no,yes,High School,,0.2222222222222222,0.31999999999999995,C,Low
Male,18,Engineering,0.3386677335467093,0.7892630876958986,0.04201400466822279,0.24689875950380158,0.9180853194472263,0.199,0.27805561112222443,0.376,no,yes,PhD,,1.0,0.44000000000000006,A,High
Male,18,Business,0.4116823364672936,0.006002000666888953,0.673724574858286,0.16826730692276903,0.8271580212297217,0.944,0.8141628325665132,0.284,yes,yes,PhD,,0.1111111111111111,0.6599999999999999,D,Low
Female,21,Business,0.09661932386477307,0.12720906968989668,0.9693231077025675,0.6742697078831532,0.5796114560384539,0.386,0.6241248249649929,0.24799999999999997,yes,yes,Bachelor's,,0.2222222222222222,0.0,D,Low
Female,23,Mathematics,0.23584716943388676,0.5381793931310437,0.6555518506168722,0.4209683873549421,0.9128780292409374,0.6910000000000001,0.8623724744948991,0.08,no,yes,Master's,,0.2222222222222222,0.54,A,Low
Female,22,CS,0.05141028205641129,0.24758252750916973,0.22440813604534846,0.5380152060824329,0.8870418586020429,0.788,0.15983196639327868,0.932,no,yes,High School,,0.8888888888888888,0.019999999999999928,F,High
Male,22,Mathematics,0.9961992398479697,0.09236412137379124,0.35528509503167727,0.04741896758703476,0.9282996194672541,0.843,0.38047609521904385,0.5640000000000001,no,yes,Bachelor's,,0.2222222222222222,0.45999999999999996,B,Low
Female,21,CS,0.5085298950958791,0.3599533177725909,0.9769923307769255,0.8615446178471389,0.22151011415982383,0.8210000000000001,0.11282256451290258,0.956,no,yes,PhD,,0.8888888888888888,0.08000000000000007,D,High
Male,19,CS,0.08721744348869773,0.27425808602867624,0.22407469156385457,0.17066826730692278,0.7180052072902062,0.836,0.2154430886177236,0.86,no,yes,Master's,,0.3333333333333333,0.5599999999999999,D,Medium
Female,21,Business,0.020004000800160033,0.5113371123707903,0.5616872290763587,0.3603441376550621,0.6094532345283397,0.6679999999999999,0.39447889577915596,0.031999999999999994,no,yes,Master's,,0.0,0.31999999999999995,F,Low
Female,23,CS,0.719143828765753,0.9794931643881293,0.4006335445148383,0.07202881152460987,0.7342279190867215,0.404,0.8945789157831567,0.24799999999999997,no,yes,PhD,,0.7777777777777778,0.4800000000000001,A,High
